Date,Time,HB5,HB6 ,HB8, HB2,HB3,H9,HB10,HB1 ,HB11,HB4,HB3SAL,HB1SAL,HB2SAL,HB4SAL,HB5SAL,HB6SAL,HB8SAL,HB10SAL,HB11SAL,HB9SAL
12/19/23,0,4.68,6.89,11.39,9.76,8.12,6.89,10.16,9.62,5.6,6.97,6.51,7.74,7.84,5.58,3.75,5.52,9.15,8.17,4.49,5.52
12/19/23,15,5.55,6.89,11.55,9.69,8.32,6.74,10.22,9.74,5.6,7.14,6.68,7.84,7.78,5.72,4.44,5.52,9.28,8.22,4.49,5.4
12/19/23,30,4.75,6.89,11.74,9.69,8.25,6.95,10.23,9.57,5.66,6.88,6.62,7.7,7.78,5.51,3.8,5.52,9.43,8.23,4.54,5.57
12/19/23,45,4.85,6.89,11.62,9.67,8.1,7,10.24,9.57,5.63,6.96,6.49,7.7,7.77,5.57,3.88,5.52,9.33,8.24,4.52,5.61
12/19/23,60,4.99,6.89,11.57,9.8,8.4,7.11,10.18,9.4,5.91,7.16,6.74,7.56,7.87,5.73,4,5.52,9.29,8.19,4.74,5.7
12/19/23,75,4.95,6.89,11.72,9.63,8.48,7.19,10.21,9.75,5.8,7.14,6.8,7.84,7.74,5.72,3.96,5.52,9.41,8.21,4.64,5.77
12/19/23,90,5.21,6.89,11.79,9.84,8.54,7.33,10.27,9.35,5.92,7.35,6.85,7.52,7.9,5.88,4.17,5.52,9.48,8.26,4.75,5.87
12/19/23,105,4.98,6.89,11.5,9.75,8.11,7.06,10.2,9.23,5.75,7.14,6.5,7.42,7.83,5.72,3.99,5.52,9.24,8.21,4.61,5.66
12/19/23,120,4.81,6.89,11.67,9.61,8.2,6.95,10.22,9.73,5.61,6.87,6.57,7.82,7.72,5.5,3.86,5.52,9.37,8.22,4.5,5.58
12/19/23,135,4.31,6.89,10.94,9.53,8.28,6.74,10.18,9.23,5.02,6.52,6.64,7.42,7.66,5.22,3.45,5.52,8.78,8.19,4.02,5.4
12/19/23,150,4.03,6.89,11.24,9.4,8.01,6.47,10.14,9.66,4.91,6.35,6.42,7.77,7.55,5.08,3.23,5.52,9.03,8.16,3.94,5.18
12/19/23,165,7.8,6.89,11.07,9.45,7.97,6.47,10.12,9.47,5.01,6.31,6.39,7.61,7.59,5.05,6.26,5.52,8.89,8.14,4.02,5.19
12/19/23,180,4.57,6.89,11.17,9.41,7.67,6.67,10.08,8.9,5.09,6.25,6.15,7.16,7.55,5,3.66,5.52,8.97,8.11,4.08,5.34
12/19/23,195,4.02,6.89,11.18,9.44,8.06,6.52,10.16,9.59,5.09,6.26,6.47,7.71,7.58,5.01,3.21,5.52,8.98,8.17,4.08,5.22
12/19/23,210,4.14,6.89,10.87,9.38,7.79,6.41,10.08,9.3,5.07,6.25,6.24,7.48,7.53,5.01,3.31,5.52,8.73,8.11,4.07,5.14
12/19/23,225,4.17,6.89,11.12,9.49,7.81,6.5,10.16,9.26,4.96,6.17,6.27,7.44,7.62,4.94,3.33,5.52,8.93,8.17,3.97,5.21
12/19/23,240,4.23,6.89,10.92,9.54,7.81,6.47,10.2,9.49,5.06,6.4,6.26,7.63,7.66,5.12,3.39,5.52,8.77,8.21,4.06,5.19
12/19/23,255,4.31,6.89,11.15,9.43,7.95,6.41,10.07,9.11,5.06,6.28,6.37,7.32,7.57,5.03,3.44,5.52,8.95,8.1,4.05,5.14
12/19/23,270,4.24,6.89,10.93,9.4,7.83,6.6,10.02,9.08,5.06,6.3,6.28,7.3,7.55,5.04,3.4,5.52,8.78,8.06,4.06,5.29
12/19/23,285,4.05,6.89,11.38,9.4,8.01,6.5,10.09,9.17,4.99,6.27,6.42,7.37,7.55,5.02,3.24,5.52,9.13,8.11,4,5.21
12/20/23,300,3.95,6.89,11.05,9.51,7.94,6.47,10.15,8.72,4.92,6.26,6.37,7.01,7.64,5.01,3.16,5.52,8.87,8.17,3.94,5.19
12/20/23,315,4.18,6.89,11.46,9.55,8.06,6.61,10.1,9.06,5.03,6.4,6.46,7.28,7.67,5.12,3.35,5.52,9.2,8.12,4.03,5.3
12/20/23,330,4.54,6.89,11.28,9.53,8.1,6.61,10.11,9.34,5.04,6.42,6.49,7.51,7.65,5.14,3.64,5.52,9.06,8.13,4.03,5.3
12/20/23,345,4.37,6.89,10.95,9.49,8.13,6.6,10.09,9.14,5.22,6.42,6.52,7.35,7.62,5.14,3.5,5.52,8.8,8.12,4.18,5.29
12/20/23,360,5.06,6.89,10.9,9.45,7.77,6.46,10.26,9.54,5.18,6.28,6.23,7.67,7.59,5.02,4.05,5.52,8.75,8.25,4.15,5.18
12/20/23,375,4.94,6.89,11.16,9.5,7.97,6.53,10.24,9.46,5.19,6.44,6.39,7.61,7.63,5.16,3.96,5.52,8.96,8.23,4.16,5.23
12/20/23,390,4.77,6.89,11.42,9.58,8.29,6.91,10.21,9.39,5.54,6.83,6.65,7.55,7.7,5.47,3.82,5.52,9.17,8.22,4.44,5.54
12/20/23,405,7.01,6.89,11.4,9.61,8.11,7.06,10.14,9.28,5.66,7,6.5,7.46,7.72,5.6,5.62,5.52,9.16,8.16,4.53,5.66
12/20/23,420,4.7,6.89,11.21,9.61,8.04,6.86,10.25,9.27,5.49,6.78,6.45,7.45,7.72,5.43,3.77,5.52,9,8.25,4.4,5.5
12/20/23,435,4.41,6.89,11.41,9.47,8.24,6.8,10.18,9.12,5.28,6.54,6.61,7.33,7.6,5.23,3.53,5.52,9.16,8.19,4.23,5.45
12/20/23,450,4.28,6.89,11.32,9.49,8.04,6.76,10.12,9.68,5.15,6.25,6.44,7.78,7.63,5,3.42,5.52,9.09,8.14,4.13,5.42
12/20/23,465,4.14,6.89,11.25,9.47,7.72,6.59,10.17,9.27,5.11,6.19,6.19,7.45,7.61,4.96,3.32,5.52,9.03,8.18,4.09,5.28
12/20/23,480,4.12,6.89,11.3,9.42,7.89,6.6,10.21,9.16,4.94,6.2,6.33,7.36,7.57,4.96,3.3,5.52,9.07,8.21,3.96,5.29
12/20/23,495,4.48,6.89,10.97,9.41,7.83,6.43,10.14,9.31,5.06,6.14,6.28,7.49,7.56,4.92,3.59,5.52,8.81,8.15,4.05,5.16
12/20/23,510,4.19,6.89,11.28,9.51,8.07,6.58,10.16,9.51,5.01,6.26,6.47,7.64,7.64,5.01,3.36,5.52,9.05,8.17,4.02,5.28
12/20/23,525,4,6.89,11.24,9.47,8.08,6.57,10.21,9.65,4.96,6.42,6.48,7.76,7.61,5.14,3.21,5.52,9.02,8.21,3.97,5.27
12/20/23,540,4.18,6.89,11.29,9.46,7.96,6.48,10.18,9.43,4.96,6.35,6.38,7.58,7.6,5.09,3.34,5.52,9.06,8.18,3.98,5.2
12/20/23,555,4.13,6.89,11.43,9.56,7.86,6.65,10.15,9.23,4.99,6.28,6.3,7.42,7.67,5.02,3.3,5.52,9.18,8.16,4,5.33
12/20/23,570,4.08,6.89,11.42,9.48,8.02,6.6,10.2,9.5,4.94,6.31,6.43,7.64,7.61,5.05,3.27,5.52,9.17,8.2,3.96,5.29
12/20/23,585,4.35,6.89,11.14,9.51,7.95,6.73,10.17,9.14,5.16,6.51,6.38,7.34,7.64,5.21,3.48,5.52,8.94,8.18,4.14,5.39
12/20/23,600,4.06,6.89,11.22,9.53,7.97,6.54,10.16,9.11,5.24,6.51,6.39,7.33,7.65,5.21,3.25,5.52,9.01,8.18,4.2,5.24
12/20/23,615,4.23,6.89,11.58,9.52,8.13,6.65,10.28,9.38,5.34,6.55,6.52,7.54,7.64,5.25,3.39,5.52,9.3,8.27,4.28,5.33
12/20/23,630,5.3,6.89,11.35,9.76,8.21,6.84,10.08,9.26,5.64,6.9,6.58,7.44,7.84,5.52,4.25,5.52,9.12,8.1,4.52,5.49
12/20/23,645,4.93,6.89,11.6,9.81,8.13,7.12,10.32,9.51,5.82,6.98,6.52,7.65,7.88,5.59,3.94,5.52,9.31,8.29,4.66,5.71
12/20/23,660,7.18,6.89,11.66,9.73,8.29,7.13,10.24,9.51,5.77,7.06,6.65,7.65,7.81,5.65,5.76,5.52,9.36,8.23,4.63,5.72
12/20/23,675,4.95,6.89,11.64,9.75,8.22,6.97,10.3,8.98,5.8,7.15,6.59,7.22,7.83,5.73,3.96,5.52,9.34,8.28,4.65,5.59
12/20/23,690,6.17,6.89,11.21,9.78,8.03,6.95,10.3,8.94,5.53,6.92,6.44,7.18,7.85,5.54,4.95,5.52,9,8.28,4.43,5.57
12/20/23,705,4.64,6.89,11.49,9.58,8.33,7.1,10.25,9.23,5.5,6.79,6.68,7.42,7.69,5.44,3.71,5.52,9.22,8.24,4.41,5.69
12/20/23,720,4.57,6.89,11.37,9.73,8.14,6.76,10.23,9.07,5.42,6.71,6.53,7.29,7.81,5.37,3.65,5.52,9.13,8.22,4.34,5.42
12/20/23,735,4.51,6.89,11.21,9.59,8.17,6.81,10.3,9.05,5.46,6.64,6.55,7.27,7.7,5.32,3.61,5.52,8.99,8.28,4.38,5.46
12/20/23,750,4.65,6.89,11.51,9.61,8.19,6.89,10.28,9.06,5.47,6.68,6.57,7.28,7.72,5.35,3.72,5.52,9.23,8.26,4.38,5.52
12/20/23,765,4.32,6.89,11.1,9.5,8.06,6.75,10.27,9.01,5.15,6.43,6.46,7.24,7.63,5.15,3.46,5.52,8.9,8.25,4.13,5.42
12/20/23,780,4.57,6.89,11.03,9.68,8.14,6.79,10.34,9.55,5.43,6.55,6.53,7.68,7.77,5.24,3.66,5.52,8.84,8.31,4.35,5.44
12/20/23,795,4.26,6.89,11.37,9.47,7.97,6.59,10.29,9.02,5.27,6.4,6.39,7.24,7.6,5.12,3.41,5.52,9.12,8.27,4.22,5.29
12/20/23,810,4.2,6.89,10.94,9.51,7.69,6.45,10.24,9.16,5.14,6.28,6.16,7.36,7.64,5.03,3.36,5.52,8.77,8.22,4.11,5.17
12/20/23,825,4.01,6.89,11.34,9.46,7.95,6.71,10.29,9.03,5.2,6.2,6.37,7.26,7.59,4.96,3.21,5.52,9.1,8.27,4.17,5.38
12/20/23,840,4.53,6.89,11.1,9.48,7.74,6.65,10.36,8.72,5.18,6.11,6.21,7,7.61,4.89,3.63,5.52,8.91,8.32,4.15,5.33
12/20/23,855,4.1,6.89,11.09,9.48,8.09,6.5,10.29,9.13,5.13,6,6.48,7.34,7.61,4.8,3.28,5.52,8.89,8.27,4.11,5.21
12/20/23,870,4.58,6.89,11.5,9.54,7.83,6.5,10.37,9.11,5.01,6.15,6.28,7.32,7.66,4.92,3.66,5.52,9.23,8.33,4.01,5.21
12/20/23,885,4.21,6.89,11.07,9.46,8.01,6.61,10.25,9,5.21,6.12,6.42,7.23,7.59,4.9,3.37,5.52,8.88,8.23,4.18,5.3
12/20/23,900,4.21,6.89,11.2,9.54,7.9,6.7,10.31,9.24,5.01,6.19,6.34,7.43,7.66,4.95,3.37,5.52,8.98,8.28,4.01,5.37
12/20/23,915,4.05,6.89,11.25,9.45,8.03,6.69,10.29,8.9,5.01,6.29,6.44,7.15,7.59,5.03,3.24,5.52,9.03,8.27,4.01,5.36
12/20/23,930,4.34,6.89,11.21,9.62,7.83,6.63,10.24,8.93,5.15,6.29,6.28,7.17,7.73,5.04,3.47,5.52,8.99,8.23,4.13,5.31
12/20/23,945,4.32,6.89,11.26,9.58,7.92,6.59,10.26,8.87,5.03,6.04,6.35,7.13,7.7,4.84,3.46,5.52,9.04,8.25,4.03,5.29
12/20/23,960,4.14,6.89,11.59,9.52,8.06,6.67,10.26,9.14,5.08,6.06,6.46,7.35,7.65,4.85,3.32,5.52,9.3,8.25,4.07,5.34
12/20/23,975,4.02,6.89,11.39,9.43,7.87,6.51,10.27,9.15,5.19,6.29,6.31,7.36,7.58,5.04,3.22,5.52,9.14,8.26,4.16,5.22
12/20/23,990,4.01,6.89,11.45,9.59,8.11,6.67,10.26,9,5.11,6.29,6.5,7.24,7.7,5.04,3.21,5.52,9.19,8.25,4.1,5.35
12/20/23,1005,3.92,6.89,11.37,9.58,7.88,6.59,10.22,9,5.1,6.28,6.32,7.23,7.69,5.03,3.14,5.52,9.12,8.21,4.09,5.29
12/20/23,1020,3.95,6.89,11.63,9.48,8.07,6.67,10.29,9.2,5.05,6.26,6.47,7.39,7.62,5.01,3.16,5.52,9.33,8.27,4.05,5.35
12/20/23,1035,4.8,6.89,11.6,9.62,7.96,6.47,10.13,9.01,5.15,6.42,6.39,7.24,7.72,5.14,3.85,5.52,9.31,8.15,4.13,5.19
12/20/23,1050,4.46,6.89,11.31,9.56,8.08,6.75,10.24,9.06,5.15,6.35,6.48,7.29,7.68,5.08,3.57,5.52,9.08,8.23,4.13,5.41
12/20/23,1065,4.23,6.89,11.56,9.76,8.2,6.6,10.3,9.27,4.95,6.46,6.57,7.45,7.84,5.17,3.39,5.52,9.27,8.28,3.97,5.29
12/20/23,1080,4.14,6.89,11.29,9.52,8.09,6.6,10.41,9.12,4.96,6.33,6.48,7.33,7.65,5.06,3.32,5.52,9.06,8.37,3.97,5.29
12/20/23,1095,4.17,6.89,11.09,9.57,8.13,6.61,10.33,9.01,5.15,6.22,6.52,7.24,7.69,4.98,3.34,5.52,8.9,8.31,4.13,5.3
12/20/23,1110,3.98,6.89,11.41,9.64,8.15,6.65,10.27,9.04,5.11,6.36,6.53,7.27,7.75,5.09,3.19,5.52,9.16,8.26,4.1,5.34
12/20/23,1125,4.09,6.89,11.14,9.55,7.98,6.46,10.29,9.54,5.07,6.34,6.4,7.67,7.67,5.07,3.27,5.52,8.94,8.27,4.07,5.18
12/20/23,1140,5.02,6.89,11.25,9.52,7.62,6.56,10.31,9.21,5.03,6.13,6.11,7.4,7.65,4.91,4.02,5.52,9.02,8.28,4.03,5.26
12/20/23,1155,4.05,6.89,11.68,9.51,8.07,6.53,10.23,9.3,5.04,6.44,6.47,7.48,7.64,5.16,3.25,5.52,9.37,8.22,4.04,5.24
12/20/23,1170,3.98,6.89,11.01,9.53,7.93,6.38,10.23,9.2,5.16,6.35,6.36,7.4,7.66,5.08,3.19,5.52,8.84,8.22,4.13,5.12
12/20/23,1185,6.54,6.89,11.25,9.51,8.14,6.61,10.26,9.24,5.1,6.34,6.53,7.43,7.64,5.07,5.24,5.52,9.02,8.24,4.09,5.3
12/20/23,1200,4.36,6.89,11.29,9.52,7.72,6.66,10.26,8.93,5.1,6.5,6.19,7.18,7.65,5.21,3.5,5.52,9.06,8.24,4.09,5.34
